Latitude,Longitude,Sport,LGA Name,Facility Name
-37.536707,143.842577,AFL,Ballarat City Council,C E Brown Recreation Reserve
-37.558181,143.837205,AFL,Ballarat City Council,City Oval
-37.584168,143.816064,AFL,Ballarat City Council,Doug Dean Recreation Reserve 
-37.557818,143.863653,AFL,Ballarat City Council,Eastern Oval
-37.539132,143.847834,AFL,Ballarat City Council,Eureka Stadium
-37.421732,143.711951,AFL,Ballarat City Council,Learmonth Recreation Reserve
-37.604027,143.843462,AFL,Ballarat City Council,Marty Busch Recreation Reserve
-37.606279,143.874694,AFL,Ballarat City Council,Mount Clear Recreation Reserve
-37.578352,143.850479,AFL,Ballarat City Council,Mount Pleasant Reserve
-37.555753,143.883908,AFL,Ballarat City Council,Russell Square
-37.565202,143.839485,AFL,Ballarat City Council,Western Oval
-37.56872,143.856478,AFL,Ballarat City Council,White Flat
-37.560242,143.892582,Basketball,Ballarat City Council,East Ballarat Recreation Centre
-37.56538,143.862489,Basketball,Ballarat City Council,Eastwood Leisure Complex
-37.52842,143.840921,Basketball,Ballarat City Council,MARS Minerdome
-37.535116,143.843576,Basketball,Ballarat City Council,Wendouree Sports & Events Centre 
-37.555141,143.799882,Cricket,Ballarat City Council,Alfredton Recreation Reserve
-37.534015,143.831061,Cricket,Ballarat City Council,Ballarat Grammar Oval 2
-37.534015,143.831061,Cricket,Ballarat City Council,Ballarat Grammar Oval 2
-37.559416,143.894588,Cricket,Ballarat City Council,Ballarat Secondary College - East Campus
-37.519558,143.832447,Cricket,Ballarat City Council,Ballarat Secondary College - Wendouree Campus
-37.552298,143.896409,Cricket,Ballarat City Council,Brown Hill Recreation Reserve
-37.648825,143.89068,Cricket,Ballarat City Council,Buninyong Recreation Reserve
-37.536707,143.842577,Cricket,Ballarat City Council,C E Brown Recreation Reserve
-37.536707,143.842577,Cricket,Ballarat City Council,C E Brown Recreation Reserve
-37.536707,143.842577,Cricket,Ballarat City Council,C E Brown Recreation Reserve
-37.558181,143.837205,Cricket,Ballarat City Council,City Oval
-37.584168,143.816064,Cricket,Ballarat City Council,Doug Dean Recreation Reserve 
-37.557818,143.863653,Cricket,Ballarat City Council,Eastern Oval
-37.523333,143.874412,Cricket,Ballarat City Council,Invermay Recreation Reserve
-37.421732,143.711951,Cricket,Ballarat City Council,Learmonth Recreation Reserve
-37.604027,143.843462,Cricket,Ballarat City Council,Marty Busch Recreation Reserve
-37.606279,143.874694,Cricket,Ballarat City Council,Mount Clear Recreation Reserve
-37.578352,143.850479,Cricket,Ballarat City Council,Mount Pleasant Reserve
-37.555753,143.883908,Cricket,Ballarat City Council,Russell Square
-37.57698,143.884745,Cricket,Ballarat City Council,Sparrow Ground
-37.625006,143.887907,Cricket,Ballarat City Council,University of Ballarat Oval
-37.5636,143.82102,Cricket,Ballarat City Council,Victoria Park
-37.5636,143.82102,Cricket,Ballarat City Council,Victoria Park
-37.525042,143.81885,Cricket,Ballarat City Council,Wendouree West Recreation Reserve
-37.565202,143.839485,Cricket,Ballarat City Council,Western Oval
-37.56872,143.856478,Cricket,Ballarat City Council,White Flat
-37.555141,143.799882,Netball,Ballarat City Council,Alfredton Recreation Reserve
-37.648825,143.89068,Netball,Ballarat City Council,Buninyong Recreation Reserve
-37.536707,143.842577,Netball,Ballarat City Council,C E Brown Recreation Reserve
-37.558181,143.837205,Netball,Ballarat City Council,City Oval
-37.560242,143.892582,Netball,Ballarat City Council,East Ballarat Recreation Centre
-37.539132,143.847834,Netball,Ballarat City Council,Eureka Stadium
-37.421732,143.711951,Netball,Ballarat City Council,Learmonth Recreation Reserve
-37.567872,143.866464,Netball,Ballarat City Council,Llanberris Netball Centre
-37.604027,143.843462,Netball,Ballarat City Council,Marty Busch Recreation Reserve
-37.606279,143.874694,Netball,Ballarat City Council,Mount Clear Recreation Reserve
-37.555141,143.799882,Soccer,Ballarat City Council,Alfredton Recreation Reserve
-37.534015,143.831061,Soccer,Ballarat City Council,Ballarat Grammar Oval 2
-37.580091,143.834217,Soccer,Ballarat City Council,Ballarat Regional Soccer Facility Ballarat Regional Soccer Facility (Morshead Park Stadium)
-37.580091,143.834217,Soccer,Ballarat City Council,Ballarat Regional Soccer Facility Ballarat Regional Soccer Facility (Morshead Park Stadium)
-37.552298,143.896409,Soccer,Ballarat City Council,Brown Hill Recreation Reserve
-37.571823,143.835887,Soccer,Ballarat City Council,Pleasant Street Reserve
-37.555753,143.883908,Soccer,Ballarat City Council,Russell Square
-37.591582,143.838186,Soccer,Ballarat City Council,St Georges Reserve
-37.602356,143.845182,Soccer,Ballarat City Council,Tom Brown Reserve
-37.572108,143.837561,Soccer,Ballarat City Council,Trekardo Park
-37.5636,143.82102,Soccer,Ballarat City Council,Victoria Park
-37.5636,143.82102,Soccer,Ballarat City Council,Victoria Park
-37.525042,143.81885,Soccer,Ballarat City Council,Wendouree West Recreation Reserve
-37.555141,143.799882,Tennis,Ballarat City Council,Alfredton Recreation Reserve
-37.526586,143.841483,Tennis,Ballarat City Council,Ballarat Regional Tennis Centre
-37.526586,143.841483,Tennis,Ballarat City Council,Ballarat Regional Tennis Centre
-37.649105,143.888593,Tennis,Ballarat City Council,Buninyong Association Tennis Centre
-37.536707,143.842577,Tennis,Ballarat City Council,C E Brown Recreation Reserve
-37.523333,143.874412,Tennis,Ballarat City Council,Invermay Recreation Reserve
-37.604027,143.843462,Tennis,Ballarat City Council,Marty Busch Recreation Reserve
-37.606279,143.874694,Tennis,Ballarat City Council,Mount Clear Recreation Reserve
-37.633129,143.881491,Tennis,Ballarat City Council,Mount Helen Tennis Courts
-37.704194,145.087592,AFL,Banyule City Council,AK Lines Reserve
-37.691447,145.126294,AFL,Banyule City Council,Anthony Beale Reserve
-37.697332,145.080915,AFL,Banyule City Council,Binnak Park
-37.77672,145.049173,AFL,Banyule City Council,Chelsworth Park
-37.746418,145.067919,AFL,Banyule City Council,De Winton Park
-37.722727,145.070588,AFL,Banyule City Council,Dunvegan Reserve
-37.71493,145.090947,AFL,Banyule City Council,Elder Street Reserve
-37.754252,145.037293,AFL,Banyule City Council,Ford Park
-37.700383,145.106353,AFL,Banyule City Council,Greensborough Park
-37.706035,145.098228,AFL,Banyule City Council,Greensborough War Memorial Reserve
-37.753959,145.072988,AFL,Banyule City Council,Heidelberg Cricket Ground
-37.755878,145.075764,AFL,Banyule City Council,Heidelberg Park
-37.772888,145.051829,AFL,Banyule City Council,Ivanhoe Park
-37.72902,145.06907,AFL,Banyule City Council,Macleod Park
-37.715283,145.113397,AFL,Banyule City Council,Montmorency Park North
-37.717495,145.113018,AFL,Banyule City Council,Montmorency Park South
-37.704732,145.065326,AFL,Banyule City Council,N J Telfer Reserve
-37.738083,145.035075,AFL,Banyule City Council,Olympic Park
-37.717216,145.125934,AFL,Banyule City Council,Petrie Park
-37.765457,145.032107,AFL,Banyule City Council,Seddon Reserve
-37.740974,145.049584,AFL,Banyule City Council,Shelley Park
-37.712414,145.109734,AFL,Banyule City Council,Simms Road Reserve
-37.752489,145.079546,AFL,Banyule City Council,Warringal Parklands
-37.699948,145.104116,AFL,Banyule City Council,Whatmough Park
-37.71796,145.080081,AFL,Banyule City Council,Winsor Reserve
-37.697336,145.061188,AFL,Banyule City Council,Yulong Reserve
-37.723317,145.068971,Basketball,Banyule City Council,Macleod Recreation & Fitness Centre
-37.740147,145.040629,Basketball,Banyule City Council,Olympic Leisure Centre
-37.704194,145.087592,Cricket,Banyule City Council,AK Lines Reserve
-37.691447,145.126294,Cricket,Banyule City Council,Anthony Beale Reserve
-37.747777,145.08857,Cricket,Banyule City Council,Banyule Flats Reserve
-37.697332,145.080915,Cricket,Banyule City Council,Binnak Park
-37.760286,145.034231,Cricket,Banyule City Council,Cartledge Reserve
-37.715628,145.105598,Cricket,Banyule City Council,Central Park
-37.77672,145.049173,Cricket,Banyule City Council,Chelsworth Park
-37.77672,145.049173,Cricket,Banyule City Council,Chelsworth Park
-37.746418,145.067919,Cricket,Banyule City Council,De Winton Park
-37.722727,145.070588,Cricket,Banyule City Council,Dunvegan Reserve
-37.71493,145.090947,Cricket,Banyule City Council,Elder Street Reserve
-37.754252,145.037293,Cricket,Banyule City Council,Ford Park
-37.727341,145.108231,Cricket,Banyule City Council,Glenauburn Reserve
-37.700383,145.106353,Cricket,Banyule City Council,Greensborough Park
-37.706035,145.098228,Cricket,Banyule City Council,Greensborough War Memorial Reserve
-37.753959,145.072988,Cricket,Banyule City Council,Heidelberg Cricket Ground
-37.755878,145.075764,Cricket,Banyule City Council,Heidelberg Park
-37.772888,145.051829,Cricket,Banyule City Council,Ivanhoe Park
-37.749856,145.052201,Cricket,Banyule City Council,James Reserve
-37.703645,145.075398,Cricket,Banyule City Council,Loyola Reserve
-37.72902,145.06907,Cricket,Banyule City Council,Macleod Park
-37.715283,145.113397,Cricket,Banyule City Council,Montmorency Park North
-37.717495,145.113018,Cricket,Banyule City Council,Montmorency Park South
-37.704732,145.065326,Cricket,Banyule City Council,N J Telfer Reserve
-37.738083,145.035075,Cricket,Banyule City Council,Olympic Park
-37.717216,145.125934,Cricket,Banyule City Council,Petrie Park
-37.765457,145.032107,Cricket,Banyule City Council,Seddon Reserve
-37.740974,145.049584,Cricket,Banyule City Council,Shelley Park
-37.712414,145.109734,Cricket,Banyule City Council,Simms Road Reserve
-37.696371,145.072506,Cricket,Banyule City Council,Warrawee Park
-37.752489,145.079546,Cricket,Banyule City Council,Warringal Parklands
-37.699948,145.104116,Cricket,Banyule City Council,Whatmough Park
-37.71796,145.080081,Cricket,Banyule City Council,Winsor Reserve
-37.697336,145.061188,Cricket,Banyule City Council,Yulong Reserve
-37.747777,145.08857,Soccer,Banyule City Council,Banyule Flats Reserve
-37.760286,145.034231,Soccer,Banyule City Council,Cartledge Reserve
-37.71493,145.090947,Soccer,Banyule City Council,Elder Street Reserve
-37.714772,145.087218,Soccer,Banyule City Council,Gabonia Avenue Reserve
-37.749856,145.052201,Soccer,Banyule City Council,James Reserve
-37.738083,145.035075,Soccer,Banyule City Council,Olympic Park
-37.697878,145.103027,Soccer,Banyule City Council,Partingtons Flat
-37.728769,145.106565,Soccer,Banyule City Council,Yallambie Park
-37.715628,145.105598,Tennis,Banyule City Council,Central Park
-37.77672,145.049173,Tennis,Banyule City Council,Chelsworth Park
-37.77672,145.049173,Tennis,Banyule City Council,Chelsworth Park
